"sparse weighted graph embedding,"
846,-5.141866,-1.2865646
847,-5.136191,-1.3004229
848,-5.162521,-1.2990215
849,-5.164792,-1.2974963
850,-5.17497,-1.3053737
851,0.17735532,-0.022794768
852,0.032865252,0.14947353
853,-0.20819902,-0.059246607
854,-0.24855946,0.17707172
855,-5.055076,-1.2705501
856,-5.0861516,-1.2768881
857,-5.085027,-1.2814302
858,-5.129887,-1.2878596
859,-4.482633,-1.1180155
860,-4.8896923,-1.2447757
861,-4.909015,-1.2393694
862,-4.9432826,-1.2586699
863,-4.94519,-1.2729388
864,-4.9671555,-1.2580857
865,-4.9949217,-1.2715361
866,-5.0151663,-1.2558912
867,-4.9680285,-1.2603832
868,-4.9878335,-1.2671734
869,-5.044777,-1.2930164
870,-4.4182553,-1.095776
871,-5.1180825,-1.3106836
872,-5.10797,-1.312203
873,-5.124911,-1.3096681
874,-5.1986156,-1.326842
875,-5.1915097,-1.3341213
876,-5.2069855,-1.3200325
877,-5.218266,-1.3277254
878,-5.278123,-1.3490819
879,-4.456067,-1.1210678
880,-4.491965,-1.1150724
881,-4.394546,-1.1192713
882,-5.257301,-1.3456217
883,-5.2782016,-1.3604277
884,-5.2990093,-1.3612291
885,-4.5405593,-1.1484487
886,-4.9185553,-1.2487177
887,-5.334872,-1.3661945
888,-5.357756,-1.3619777
