"sparse weighted graph embedding,"	,"
330,-3.3962278,-0.858838	,-2.7635467,0.07495782
331,-3.3556097,-0.8441496	,-2.756431,0.09718152
332,-3.3532667,-0.8349806	,-2.752384,0.082212895
333,-3.3673513,-0.83873636	,-2.7977614,0.08430666
334,-3.3694267,-0.8291919	,-2.7977936,0.114784285
335,-3.389473,-0.8440996	,-2.8024447,0.10752334
336,-3.3877537,-0.85690254	,-2.801694,0.10281717
337,-3.2536771,-0.82317716	,-2.8146274,0.09672957
338,-3.266892,-0.8244106	,-2.8014824,0.108192675
339,-3.2456458,-0.8227735	,-2.855362,0.09218795
340,-3.343441,-0.8478349	,-2.8582828,0.07431236
341,-3.401622,-0.84730613	,-2.8471153,0.08954143
342,-3.403599,-0.8594977	,-2.8649075,0.07664055
343,-3.4291275,-0.86441195	,-2.875272,0.094708964
344,-3.4352791,-0.85871255	,-2.878461,0.09526963
345,-3.4538252,-0.86024445	,-2.8295448,0.04757085
346,-3.445008,-0.86788034	,-2.8089042,0.098995276
347,-3.3323212,-0.863175	,-2.8627772,0.021816058
348,-3.3461258,-0.83823687	,-2.850421,0.089328915
349,-3.3255582,-0.84263325	,-2.8492844,0.10918719
350,-3.3603525,-0.85991925	,-2.8181305,0.075735964
351,-3.3722544,-0.85216546	,-2.824646,0.099628635
352,-3.312849,-0.84550697	,-2.8168206,0.058149893
353,-3.2667644,-0.8360216	,-2.8655837,0.09269781
354,-3.3105333,-0.8198188	,-2.9832053,0.09515437
355,-3.3422158,-0.8336842	,-3.0823958,0.13435045
356,-3.416303,-0.84668064	,-3.0877573,0.1392625
357,-3.3510957,-0.83454067	,-3.105681,0.05315469
358,-3.2397683,-0.812072	,-3.1560142,0.024971293
359,-3.2406137,-0.8123336	,-2.941732,0.09515516
360,-3.3122547,-0.8220612	,-2.8987389,0.1452708
361,-3.2996452,-0.8298551	,-2.900122,0.09957145
362,-3.442004,-0.8564297	,-2.9605339,0.07615325
363,-3.4638157,-0.8659145	,-2.9648387,0.10237935
364,-3.4898381,-0.8503874	,-3.0935836,0.10748737
365,-3.442539,-0.8501945	,-3.118889,0.04465551
366,-3.438149,-0.8516349	,-3.0072703,0.12238791
367,-3.3768272,-0.8388324	,-3.0240083,0.10818702
368,-3.5136137,-0.8723654	,-3.013822,0.1377959
369,-3.464889,-0.8563095	,-3.0211215,0.12815922
370,-3.4724371,-0.87015694	,-3.0571554,0.12544733
371,-3.4655726,-0.8676531	,-3.0933106,0.090278186
372,-3.453951,-0.8604098	,-3.0785625,0.05505038
373,-3.6095548,-0.90401816	,-3.0748122,0.10513819
