"sparse weighted graph embedding,"	,"
468,-3.0343404,-0.7727383	,-2.7746754,0.097274505
469,-3.0786877,-0.7714984	,-2.8631175,0.09753361
470,-3.2171783,-0.81122583	,-3.0294847,0.097968996
471,-3.3173192,-0.83619565	,-3.0653546,-0.029787442
472,-3.3868983,-0.8437961	,-2.9323072,0.08767534
473,-3.3536015,-0.83071053	,-2.9319828,0.059233725
474,-3.3652856,-0.8339841	,-3.034361,0.080613896
475,-3.2579434,-0.82844985	,-3.060838,0.028904023
476,-3.2267308,-0.815637	,-3.045266,0.08481053
477,-3.1993475,-0.80781704	,-3.2747927,0.04583225
478,-3.1931279,-0.8061438	,-3.290151,-0.052889865
479,-3.3436856,-0.83970535	,-3.2986639,0.008770508
480,-3.3618867,-0.8268624	,-3.3127472,-0.064365394
481,-3.4374092,-0.86375445	,-3.2995892,0.018848429
482,-3.4212997,-0.8595298	,-3.3096511,-0.045163676
483,-3.437726,-0.8609964	,-3.3258686,-0.06601433
484,-3.3745956,-0.83260936	,-3.235999,0.0066779964
485,-3.4565966,-0.84560823	,-3.2488077,0.0081527
486,-3.4475803,-0.85769546	,-3.4061506,-0.06784054
487,-3.5100667,-0.87225807	,-3.4198506,-0.07817798
488,-3.5504873,-0.8540105	,-3.4169247,-0.10830217
489,-3.5508003,-0.8852638	,-3.4157593,-0.08614614
490,-3.5707166,-0.8660128	,-3.425436,-0.0387315
491,-3.5072403,-0.87131613	,-3.4439802,-0.10875657
492,-3.5648658,-0.88540727	,-3.4342983,-0.05428164
493,-3.5802689,-0.88521355	,-3.4660878,-0.095283195
494,-3.5874405,-0.8779613	,-3.479947,-0.098841794
495,-3.5228431,-0.8603	,-3.4904459,-0.11355268
496,-3.6193185,-0.89458185	,-3.4846044,-0.10923219
497,-3.6266897,-0.8996875	,-3.4960678,-0.09709652
498,-3.492101,-0.86864996	,-3.4828784,-0.048683744
499,-3.5956414,-0.90235424	,-3.4892135,-0.04510586
500,-3.602508,-0.89744	,-3.5114498,-0.123025954
501,-3.7191436,-0.9168354	,-3.5095544,-0.102729306
502,-3.8523383,-0.9432657	,-3.5098681,-0.054566983
503,-3.851602,-0.9555776	,-3.509112,-0.10824893
504,-3.867548,-0.9575653	,-3.5160317,-0.06606727
505,-3.7125027,-0.9178652	,-3.5331194,-0.08245928
506,-3.7200177,-0.91236544	,-3.5366707,-0.12035022
507,-3.5899029,-0.8850176	,-3.431971,-0.12442385
508,-3.5877287,-0.88574415	,-3.245601,0.040023856
509,-3.4686475,-0.87431747	,-3.1502893,-0.07452388
510,-3.5161023,-0.8708306	,-3.1805146,-0.075154044
511,-3.534056,-0.8713106	,-3.2812815,-0.07117456
512,-3.7362623,-0.9178475	,-3.2771657,-0.050477214
513,-3.7256076,-0.9200501	,-3.3025324,-0.13181192
514,-3.7493749,-0.90514284	,-3.2879841,-0.08635019
515,-3.7576716,-0.90681916	,-3.3112316,-0.08266283
516,-3.6023097,-0.89518744	,-3.3142762,-0.13341351
517,-3.5177042,-0.8594423	,-3.3816683,-0.12863393
518,-3.2619858,-0.82486016	,-3.0352304,-0.016528288
519,-3.331846,-0.8218621	,-3.0338159,-0.015011508
520,-3.2727947,-0.82057554	,-2.9638245,-0.05628546
521,-3.3052804,-0.8266198	,-2.9552424,-0.09600513
522,-3.2881076,-0.8222929	,-2.8707728,-0.041352235
523,-3.1951969,-0.81529444	,-2.8742964,0.07705015
524,-3.1723309,-0.79027677	,-2.908316,-0.074154556
525,-3.163172,-0.81194293	,-2.910783,-0.05390721
526,-3.2018173,-0.8018357	,-2.7849083,0.092313975
527,-3.200594,-0.78663427	,-2.8084724,0.064847186
528,-3.2066681,-0.8121896	,-2.8115687,0.09834508
529,-3.2218544,-0.81333905	,-2.8318353,0.054206874
530,-3.0372717,-0.7624175	,-2.8044662,0.05430353
531,-3.0800853,-0.75604236	,-2.7662017,0.11112805
532,-3.0637891,-0.7579723	,-2.7662625,0.117877305
533,-3.1016684,-0.7846719	,-2.6899145,0.087308645
534,-3.1286638,-0.7842356	,-2.6644135,0.03812657
535,-3.13034,-0.787357	,-2.6377175,0.0734563
536,-3.0815697,-0.7889672	,-2.6486468,0.0481225
537,-2.8918188,-0.7451181	,-2.6461482,0.08864983
538,-2.8950264,-0.7467676	,-2.5759594,0.124519035
539,-2.8976476,-0.74449843	,-2.590342,0.07786136
540,-2.9057815,-0.7394226	,-2.646028,0.035394955
541,-2.8058953,-0.71529824	,-2.6448245,0.061524782
542,-2.8265734,-0.7360286	,-2.7168667,0.087455265
543,-2.8338218,-0.73996466	,-2.7093403,0.10255974
544,-2.8933072,-0.7523317	,-2.721572,0.09529001
545,-2.8662782,-0.7280672	,-2.7230873,0.09398677
546,-2.9237976,-0.7454754	,-2.625766,0.096416585
547,-2.8654861,-0.7440553	,-2.5268176,0.06843142
548,-2.8676307,-0.7368881	,-2.4671645,0.07722984
549,-2.8688867,-0.74282163	,-2.4734256,0.11072362
550,-2.8863153,-0.74397653	,-2.4517758,0.1015011
551,-2.887197,-0.7414016	,-2.4580371,0.08804833
552,-2.8311558,-0.7210865	,-2.484521,0.08921946
553,-2.8376067,-0.7330872	,-2.5272148,0.084868126
554,-2.763257,-0.7178252	,-2.5421333,0.06851962
555,-2.8260453,-0.71797734	,-2.4801917,0.06782698
556,-2.7765136,-0.7186934	,-2.5949402,0.07767611
557,-2.829117,-0.7258277	,-2.6576557,0.077514604
558,-2.8569658,-0.7325849	,-2.578677,0.05303085
559,-2.8058276,-0.7135094	,-2.536048,0.05756901
560,-2.8543775,-0.73323625	,-2.5210335,0.062342536
561,-2.855774,-0.7205366	,-2.5559447,0.0702081
562,-2.86591,-0.7280203	,-2.5610194,0.07911552
563,-2.877187,-0.73588103	,-2.5672972,0.0709109
564,-2.7803297,-0.7236725	,-2.504238,0.079542235
565,-2.710979,-0.7065626	,-2.4897978,0.055304896
566,-2.7841644,-0.7148119	,-2.4565628,0.044863246
567,-2.8763628,-0.7221367	,-2.4498672,0.055901334
568,-2.865587,-0.7273326	,-2.4357364,0.05517429
569,-2.8586957,-0.729629	,-2.4452393,0.091650836
570,-2.790682,-0.69944453	,-2.4361126,0.065053
571,-2.7936676,-0.6936853	,-2.4500725,0.067389145
572,-2.7743583,-0.702592	,-2.4504023,0.07695277
573,-2.7710328,-0.70884264	,-2.511211,0.049006283
574,-2.8493657,-0.73716974	,-2.6248145,0.087682605
575,-2.8515413,-0.72087437	,-2.5636642,0.0526164
576,-2.8263075,-0.7217768	,-2.5728292,0.080202356
577,-2.821944,-0.71573323	,-2.5650716,0.0525722
578,-2.7864645,-0.70268035	,-2.6101966,0.046640623
579,-2.728196,-0.7047791	,-2.5227222,0.0813908
580,-2.675307,-0.6901279	,-2.5067458,0.03305066
581,-2.6802022,-0.7055739	,-2.471106,0.04735427
582,-2.715342,-0.70401967	,-2.49101,0.071582064
583,-2.6897752,-0.691442	,-2.5766377,0.05778045
584,-2.753704,-0.7044668	,-2.5813227,0.065790415
585,-2.7886364,-0.70040196	,-2.5085769,0.061817408
586,-2.7292492,-0.71226436	,-2.4919171,0.027857637
587,-2.6693373,-0.7063566	,-2.4119701,0.044983037
588,-2.646588,-0.70149815	,-2.4045167,0.051991627
589,-2.7004313,-0.71867543	,-2.3901162,0.031322613
590,-2.7739077,-0.7162454	,-2.413745,0.05064054
591,-2.820497,-0.7297142	,-2.4467566,0.0738994
592,-2.7102919,-0.7050247	,-2.457141,0.057874516
593,-2.7118886,-0.70825154	,-2.4391944,0.057733916
594,-2.703301,-0.71598923	,-2.4338048,0.04549709
595,-2.6927001,-0.7152716	,-2.462307,0.040344905
596,-2.6989067,-0.7101254	,-2.4359581,0.065883406
597,-2.7126582,-0.6983187	,-2.3879542,0.07349289
598,-2.6495373,-0.6761196	,-2.3615236,0.08165236
599,-2.651791,-0.69639754	,-2.4210699,0.05316635
600,-2.6076024,-0.6796121	,-2.4522176,0.083158545
601,-2.7020433,-0.70593786	,-2.5214386,0.06928945
602,-2.7887812,-0.71836793	,-2.5130467,0.08984945
603,-2.76558,-0.7020902	,-2.5177743,0.087278396
604,-2.7598894,-0.7246322	,-2.5217154,0.04006771
605,-2.7662141,-0.7160716	,-2.531148,0.07892953
606,-2.7600906,-0.6937972	,-2.561202,0.08553592
607,-2.8300788,-0.7303768	,-2.4804251,0.05202019
608,-2.768623,-0.7180182	,-2.463047,0.06393457
609,-2.727636,-0.70632344	,-2.466995,0.03757635
610,-2.7195032,-0.7011737	,-2.4314706,0.07212183
611,-2.758655,-0.6909798	,-2.4273632,0.07608812
612,-2.75933,-0.6883697	,-2.4326165,0.09091428
613,-2.7001235,-0.7030344	,-2.4095669,0.07330509
614,-2.716822,-0.69301647	,-2.533449,0.069123395
615,-2.711859,-0.70115155	,-2.6133528,0.0739875
616,-2.774193,-0.7061397	,-2.68663,0.07754044
617,-2.8462963,-0.7094321	,-2.6803682,0.08643191
618,-2.8579383,-0.7321768	,-2.6625996,0.10416535
619,-2.8560696,-0.73709404	,-2.6176646,0.07782588
620,-2.825057,-0.7086884	,-2.6101007,0.11220179
621,-2.7788296,-0.71653974	,-2.6067593,0.09988939
622,-2.7958932,-0.720284	,-2.5302708,0.10273081
623,-2.7842991,-0.691832	,-2.5554729,0.092190176
624,-2.9005911,-0.73820895	,-2.5792384,0.065515265
625,-2.8706844,-0.72293633	,-2.5729647,0.08709805
626,-2.802581,-0.7154854	,-2.5773876,0.09370878
627,-2.8019664,-0.7007123	,-2.5562875,0.06707393
628,-2.7950404,-0.7132773	,-2.5198572,0.05743431
629,-2.7865407,-0.7168654	,-2.4843264,0.06443939
630,-2.8631346,-0.7227086	,-2.5400095,0.08645254
631,-2.8639207,-0.7307111	,-2.5381398,0.076578334
632,-2.9208226,-0.73369414	,-2.510913,0.09281407
633,-2.9213052,-0.73095053	,-2.5225668,0.10308062
634,-2.9238913,-0.74286747	,-2.5313578,0.09279509
635,-2.847196,-0.7243813	,-2.4878113,0.07599521
636,-2.8753738,-0.7410419	,-2.4943192,0.061759368
637,-3.057892,-0.7480694	,-2.6200893,0.07071273
638,-3.0527625,-0.74847823	,-2.7035835,0.059550337
639,-3.0719948,-0.7467206	,-2.707923,0.06239077
640,-3.09168,-0.7526663	,-2.7148118,0.05913814
641,-3.0700758,-0.757202	,-2.7035525,0.04651203
642,-3.0808349,-0.74718904	,-2.7543466,-0.0031112956
643,-3.143208,-0.7671874	,-2.7719631,0.04258599
644,-3.0657666,-0.76373404	,-2.7794838,0.056901745
645,-3.0889962,-0.77287614	,-2.7669291,0.0699042
646,-3.1945157,-0.79340273	,-2.8087485,-0.012206656
647,-3.139154,-0.76792675	,-2.817019,0.006833681
648,-3.0372455,-0.7708688	,-2.8491154,-0.04993103
649,-3.055844,-0.760857	,-2.8045619,-0.0038805467
650,-3.121875,-0.77450895	,-2.7617,-0.0012000393
651,-3.1677618,-0.7844776	,-2.7760787,0.04147313
652,-3.150756,-0.77787524	,-2.7490227,-0.057805054
653,-3.16049,-0.7891068	,-2.7429245,-0.03299348
654,-3.1787536,-0.79265934	,-2.7390368,-0.031435505
655,-3.1805222,-0.78173906	,-2.8259306,-0.055787712
656,-3.1613405,-0.7850937	,-2.8178244,-0.027459646
657,-3.2622569,-0.8081582	,-2.8375242,-0.053603616
658,-3.2697496,-0.8078991	,-2.8520067,-0.10552224
659,-3.130824,-0.78837705	,-2.8441157,-0.061173506
660,-3.0764754,-0.76696163	,-2.662024,-0.006600799
661,-2.9721243,-0.74612755	,-2.6140444,-0.02905836
662,-2.9860463,-0.7592281	,-2.719821,-0.081694745
663,-2.9420676,-0.737409	,-2.6024327,0.016134728
664,-2.9631355,-0.75171083	,-2.6133578,-0.017634472
665,-2.9601202,-0.7434265	,-2.6466727,0.050006382
666,-3.0205176,-0.7559422	,-2.7496603,-0.12614113
667,-3.0829651,-0.7817561	,-2.8033872,-0.090374425
668,-3.0901864,-0.76646614	,-2.7398524,-0.061899807
669,-3.0273092,-0.7696761	,-2.8036776,-0.11305952
670,-2.9772217,-0.753085	,-2.8024218,-0.08912302
671,-2.98077,-0.76189715	,-2.7735155,0.009541832
672,-2.9406364,-0.7443391	,-2.8977418,-0.09036307
673,-2.9432008,-0.74698246	,-2.899449,-0.06872102
674,-2.9483557,-0.7602514	,-2.88309,-0.061110307
675,-2.9616127,-0.7583961	,-2.94516,-0.075976655
676,-2.9528897,-0.7578021	,-2.8256,-0.071643576
677,-2.9403534,-0.7598418	,-2.840109,-0.08229306
678,-2.9397194,-0.7547745	,-2.8454525,-0.07266098
679,-2.896228,-0.7445692	,-2.7995036,-0.106943525
680,-2.882871,-0.7216864	,-2.811239,-0.11890448
681,-2.87968,-0.7379973	,-2.7365818,-0.047640085
682,-2.9213495,-0.75401723	,-2.6908724,0.031996015
683,-2.932867,-0.7515554	,-2.752392,-0.09324345
684,-2.8946378,-0.740399	,-2.7329772,0.0045960243
685,-2.9033263,-0.7566276	,-2.8363733,-0.015611841
686,-2.9259293,-0.74817044	,-2.8351107,0.044639666
687,-2.9621332,-0.73933166	,-2.834502,-0.010773984
688,-2.9596395,-0.7510393	,-2.863302,-0.13184857
689,-3.02567,-0.7628357	,-2.7395928,-0.004708793
690,-3.0268905,-0.75802696	,-2.736439,0.020777663
691,-2.9598503,-0.7529147	,-2.567403,0.06629352
692,-3.016208,-0.7707044	,-2.5696034,0.08203465
693,-3.0182807,-0.7622939	,-2.5932367,0.068459414
694,-2.987946,-0.7648422	,-2.6334076,0.06616854
695,-2.990348,-0.7458706	,-2.6383896,0.073674254
696,-2.9865878,-0.75317985	,-2.7126048,0.060990997
697,-3.006342,-0.75229573	,-2.7197187,0.07113278
698,-3.1031318,-0.774482	,-2.6820652,0.03734004
699,-3.1056857,-0.78362024	,-2.696142,-0.0013460603
700,-3.2244565,-0.7938103	,-2.824767,-0.017428255
701,-3.2982352,-0.80085444	,-2.810117,0.033418365
702,-3.3066647,-0.8167547	,-2.8246086,-0.008720228
703,-3.2163358,-0.7948273	,-2.8177962,-0.00810297
704,-3.1838863,-0.80850786	,-2.8132706,-0.036359686
705,-3.2045813,-0.8129275	,-2.8169467,-0.015903212
706,-3.338556,-0.8206334	,-2.9386148,-0.07156032
707,-3.3253107,-0.8154958	,-3.0354707,-0.10961195
708,-3.3407314,-0.8180692	,-3.043622,-0.07180158
709,-3.4791276,-0.8712897	,-3.1290941,0.013382056
710,-3.4350307,-0.8666741	,-3.1290717,-0.119183846
711,-3.4523985,-0.8561448	,-3.1312704,-0.06422452
712,-3.4201343,-0.84394836	,-3.1524646,-0.10037697
713,-3.4904082,-0.8653431	,-3.153763,-0.056749295
714,-3.6090353,-0.89437956	,-3.24553,-0.013577717
715,-3.6294727,-0.87614715	,-3.259866,-0.11319278
716,-3.6360955,-0.8958037	,-3.267047,-0.14223638
717,-3.4811668,-0.8702344	,-3.259373,-0.1023251
718,-3.4862878,-0.86095333	,-3.249015,-0.12023514
719,-3.6043715,-0.88725275	,-3.3910513,-0.10091154
720,-3.6043084,-0.88760304	,-3.385013,-0.1185112
721,-3.7225342,-0.91750866	,-3.3913355,-0.12861691
722,-3.718162,-0.91125065	,-3.3975,-0.12773627
723,-3.7989464,-0.92630535	,-3.4660573,-0.17776023
724,-3.8131833,-0.9436389	,-3.5430372,-0.19093925
725,-4.1279974,-1.0361655	,-3.55379,-0.193582
726,-4.5261765,-1.1344599	,-3.5466554,-0.1539148
727,-4.539485,-1.1460088	,-3.5509279,-0.13928458
728,-4.5726304,-1.1433787	,-3.5853841,-0.17593148
729,-4.6187844,-1.1579411	,-3.584106,-0.19353497
730,-4.6020885,-1.1487412	,-3.581766,-0.19888341
731,-4.6414394,-1.173939	,-3.6205926,-0.17083631
732,-4.6604447,-1.1711617	,-3.6135197,-0.18827318
733,-4.678172,-1.1857638	,-3.615111,-0.2124992
734,-4.6976995,-1.183005	,-3.6318479,-0.18718305
735,-4.67933,-1.173055	,-3.6314163,-0.19636479
736,-4.7295322,-1.1891404	,-3.6494086,-0.19224752
737,-4.742173,-1.2046456	,-3.645594,-0.20484284
738,-4.2236605,-1.0597672	,-3.6525543,-0.2020814
739,-4.7100616,-1.18181	,-3.6609573,-0.24254891
740,-4.734151,-1.188238	,-3.67678,-0.2032819
741,-4.744346,-1.1928698	,-3.6826782,-0.23761676
742,-4.7760897,-1.2157211	,-3.6875317,-0.21614477
743,-4.781812,-1.2032813	,-3.690518,-0.2409243
744,-4.7474895,-1.1947935	,-3.7057831,-0.23197822
745,-4.760584,-1.1928507	,-3.6644099,-0.18784826
746,-4.4005904,-1.0876927	,-3.6904252,-0.2137494
747,-4.6675215,-1.165198	,-3.6986296,-0.21087168
748,-4.684861,-1.1716381	,-3.7029238,-0.22775225
749,-4.711261,-1.1759961	,-3.719312,-0.19904551
750,-4.7210026,-1.1875724	,-3.7185192,-0.19816355
751,-4.721187,-1.18414	,-3.7399185,-0.23313597
752,-4.6294127,-1.1614703	,-3.7275138,-0.22995974
753,-4.159883,-1.0397804	,-3.7439365,-0.24902225
754,-4.334285,-1.0729465	,-3.704357,-0.1897154
755,-4.348853,-1.0915705	,-3.704139,-0.17355405
756,-4.133558,-1.012444	,-3.6927893,-0.19715215
757,-4.176287,-1.029449	,-3.7229273,-0.22244556
758,-3.886026,-0.9565777	,-3.5420258,-0.19115435
759,-3.9928653,-0.9931919	,-3.54702,-0.19746298
760,-4.001872,-0.9951003	,-3.6726582,-0.24014004
761,-4.0340476,-0.99026096	,-3.6786153,-0.22322744
762,-4.0412855,-0.9938736	,-3.6747894,-0.24057515
763,-3.9049237,-0.9758841	,-3.5753126,-0.22168219
764,-3.8926806,-0.976899	,-3.5680978,-0.25125864
765,-3.9742236,-0.9938962	,-3.557766,-0.24254751
766,-3.9907522,-1.0068924	,-3.5741432,-0.23670073
767,-4.352837,-1.1176673	,-3.5767035,-0.22516082
768,-4.377216,-1.1115022	,-3.5844924,-0.2425888
769,-4.4039774,-1.1211568	,-3.6182668,-0.22991237
770,-4.322939,-1.1024879	,-3.6248562,-0.24281688
771,-4.331514,-1.1119889	,-3.6204572,-0.2545721
772,-3.9922578,-1.0038738	,-3.6369615,-0.25869572
773,-3.9199548,-0.9966442	,-3.5650218,-0.26605025
774,-3.9474761,-0.97706693	,-3.5943077,-0.29224908
775,-3.800952,-0.96410495	,-3.5982194,-0.27630207
776,-3.774733,-0.9758279	,-3.600917,-0.27107576
777,-3.716441,-0.95453197	,-3.6189947,-0.26920122
778,-3.7379546,-0.96793693	,-3.6462,-0.2817265
779,-3.7533438,-0.96306235	,-3.56817,-0.28928983
780,-3.829646,-0.97721493	,-3.5668876,-0.30293941
781,-3.8300486,-0.99511504	,-3.5933619,-0.3161096
782,-3.843925,-0.9915073	,-3.6023536,-0.28920963
783,-3.8284152,-0.97286123	,-3.617872,-0.29341584
784,-3.7817805,-0.9667689	,-3.6221538,-0.3180872
785,-3.8320947,-0.969874	,-3.6401985,-0.30960333
786,-3.8517482,-0.9720693	,-3.6623445,-0.3294829
787,-3.6149974,-0.915327	,-3.6318643,-0.2843899
788,-3.8358822,-0.95582384	,-3.6304705,-0.27710313
789,-3.778213,-0.97356534	,-3.6364312,-0.31217465
790,-3.8010194,-0.9416285	,-3.6427524,-0.28321216
791,-3.8088105,-0.9619527	,-3.664936,-0.299952
792,-3.6124043,-0.9196045	,-3.6595929,-0.32436273
793,-3.6346405,-0.89751923	,-3.5443945,-0.2860183
794,-3.6360772,-0.91020757	,-3.5495968,-0.28839365
795,-3.8588467,-0.9505941	,-3.7010787,-0.3058454
796,-3.9247456,-0.9776819	,-3.7559988,-0.31116205
797,-3.9358566,-0.99044174	,-3.7512574,-0.31742495
798,-3.7086225,-0.92800164	,-3.7880228,-0.32191932
799,-3.7089891,-0.9308025	,-3.8011646,-0.31851232
800,-3.90017,-0.9735191	,-3.9144232,-0.32016104
801,-4.000583,-1.0040071	,-3.9504075,-0.3073629
802,-4.010924,-0.99994045	,-3.9670112,-0.32333645
803,-4.443271,-1.1161802	,-3.9779196,-0.30872172
804,-4.4457607,-1.1135596	,-3.990497,-0.34176925
805,-4.4606752,-1.1245623	,-3.9845355,-0.3429965
806,-4.493453,-1.1543508	,-4.014591,-0.32480118
807,-4.49227,-1.1365751	,-3.8963,-0.30888256
808,-4.0534577,-0.9978014	,-3.9072285,-0.2994855
809,-4.1865344,-1.0579596	,-3.9330947,-0.30205205
810,-4.2094264,-1.052083	,-3.9511943,-0.3177616
811,-4.226786,-1.0482912	,-3.9529967,-0.32071644
812,-4.1570125,-1.0276321	,-4.063199,-0.30816698
813,-4.1189904,-1.0280739	,-4.0701747,-0.33499268
814,-4.2559094,-1.069944	,-4.0665946,-0.33075085
815,-4.447053,-1.1175306	,-4.0930963,-0.33318558
816,-4.4604735,-1.1268651	,-4.1001425,-0.36102533
817,-4.4193587,-1.1228303	,-4.08718,-0.34281707
818,-4.5783753,-1.1744349	,-4.101356,-0.33443734
819,-4.601983,-1.177173	,-4.12079,-0.3267742
820,-4.617978,-1.1826782	,-4.1415615,-0.33884647
821,-4.1541567,-1.0501285	,-4.082676,-0.3345107
822,-4.1648097,-1.0578989	,-4.085724,-0.34373552
823,-4.8277283,-1.2308019	,-4.1095834,-0.3380428
824,-4.8360376,-1.2295499	,-4.126394,-0.339209
825,-4.8636627,-1.2394977	,-4.138459,-0.34336835
826,-4.8873634,-1.2414409	,-4.1449146,-0.34959456
827,-4.803095,-1.2312254	,-4.159104,-0.3577993
828,-4.847264,-1.2536238	,-4.1696534,-0.3675512
829,-4.9072976,-1.2529707	,-4.1900463,-0.37236154
830,-4.950335,-1.2603034	,-4.1961927,-0.36336592
831,-5.007267,-1.2506559	,-4.1912804,-0.37986466
832,-4.9954824,-1.2694159	,-4.206997,-0.37273982
833,-4.999451,-1.2591856	,-4.2211046,-0.3677648
834,-5.0287223,-1.281459	,-4.2446957,-0.36050233
835,-4.9770384,-1.24517	,-4.154666,-0.36816904
836,-4.973645,-1.2518857	,-4.157402,-0.36699334
837,-5.0067625,-1.2578611	,-4.147159,-0.3826344
838,-5.0237317,-1.2562273	,-4.1846275,-0.38002527
839,-4.9995685,-1.2566757	,-4.1880784,-0.36602214
840,-5.015406,-1.2737402	,-4.2058954,-0.361318
841,-5.052491,-1.2674422	,-4.2031374,-0.3607509
842,-5.084078,-1.2754244	,-4.2245398,-0.35837635
843,-5.0849056,-1.2776574	,-4.234725,-0.36402085
844,-5.104539,-1.2739445	,-4.23247,-0.3830221
845,-5.078418,-1.2767673	,-4.257341,-0.4028751
846,-5.141866,-1.2865646	,-4.281079,-0.35778734
847,-5.136191,-1.3004229	,-4.28537,-0.39090353
848,-5.162521,-1.2990215	,-4.269562,-0.37976494
849,-5.164792,-1.2974963	,-4.3008795,-0.39844328
850,-5.17497,-1.3053737	,-4.311007,-0.38880458
851,0.17735532,-0.022794768	,0.17735532,-0.022794768
852,0.032865252,0.14947353	,0.032865252,0.14947353
853,-0.20819902,-0.059246607	,-0.20819902,-0.059246607
854,-0.24855946,0.17707172	,-0.24855946,0.17707172
855,-5.055076,-1.2705501	,-0.037298292,0.120690994
856,-5.0861516,-1.2768881	,-0.2070332,-0.08145583
857,-5.085027,-1.2814302	,-0.044028856,0.098652326
858,-5.129887,-1.2878596	,-0.14486374,-0.10757826
859,-4.482633,-1.1180155	,-3.9058716,-0.31794083
860,-4.8896923,-1.2447757	,-4.189606,-0.36608097
861,-4.909015,-1.2393694	,-4.2346835,-0.37013638
862,-4.9432826,-1.2586699	,-4.2238564,-0.38186014
863,-4.94519,-1.2729388	,-4.2345037,-0.3923602
864,-4.9671555,-1.2580857	,-4.2411237,-0.38875428
865,-4.9949217,-1.2715361	,-4.258181,-0.38689157
866,-5.0151663,-1.2558912	,-4.2773285,-0.38847765
867,-4.9680285,-1.2603832	,-4.2802343,-0.39285132
868,-4.9878335,-1.2671734	,-4.2697244,-0.39314932
869,-5.044777,-1.2930164	,-4.2910094,-0.4141074
870,-4.4182553,-1.095776	,-4.3083215,-0.39579424
871,-5.1180825,-1.3106836	,-4.341679,-0.39803112
872,-5.10797,-1.312203	,-4.332666,-0.3813091
873,-5.124911,-1.3096681	,-4.3516855,-0.41685015
874,-5.1986156,-1.326842	,-4.2949038,-0.41581073
875,-5.1915097,-1.3341213	,-4.2962246,-0.42048413
876,-5.2069855,-1.3200325	,-4.302819,-0.40630388
877,-5.218266,-1.3277254	,-4.322281,-0.42145413
878,-5.278123,-1.3490819	,-4.3382697,-0.43604085
879,-4.456067,-1.1210678	,-4.3316293,-0.43602717
880,-4.491965,-1.1150724	,-4.3732285,-0.4267698
881,-4.394546,-1.1192713	,-4.353628,-0.44451076
882,-5.257301,-1.3456217	,-4.3958383,-0.42978317
883,-5.2782016,-1.3604277	,-4.3791423,-0.43508244
884,-5.2990093,-1.3612291	,-4.3937454,-0.42228752
885,-4.5405593,-1.1484487	,-4.4167166,-0.4469185
886,-4.9185553,-1.2487177	,-4.421225,-0.42945957
887,-5.334872,-1.3661945	,-4.4373617,-0.46607497
888,-5.357756,-1.3619777	,-4.449747,-0.44522172
889,-5.351885,-1.3712862	,-4.4628935,-0.4712373
890,-5.4061604,-1.3873366	,-4.4687095,-0.42445287
891,-5.395924,-1.3758847	,-4.487301,-0.44789565
892,-5.416685,-1.3865564	,-4.50905,-0.44940025
893,-4.7941117,-1.2341785	,-4.0803647,-0.40409434
894,-5.1751866,-1.3294206	,-4.4441204,-0.43434668
895,-5.1977677,-1.3430235	,-4.469632,-0.47013617
896,-5.220316,-1.3491925	,-4.478463,-0.44795117
897,-5.2244616,-1.3299924	,-4.4640617,-0.43748972
898,-5.258107,-1.3500237	,-4.495348,-0.46610066
899,-5.2292705,-1.3513131	,-4.5242834,-0.47018597
900,-4.6317396,-1.1740854	,-4.518356,-0.44877043
901,-4.9577804,-1.2629386	,-4.5226545,-0.46436572
902,-4.96059,-1.2835488	,-4.5333295,-0.4733956
903,-4.9966836,-1.2765033	,-4.5425296,-0.46264166
904,-4.9956665,-1.284796	,-4.5583634,-0.4700546
905,-5.261138,-1.3512933	,-4.573101,-0.4943554
906,-5.2583027,-1.3484194	,-4.5854926,-0.48044977
907,-5.290333,-1.3689603	,-4.5969687,-0.49386042
908,-5.3019195,-1.3713827	,-4.606816,-0.48851514
909,-5.290987,-1.3579847	,-4.6286836,-0.49142593
910,-4.566466,-1.1588491	,-4.197288,-0.42180297
911,-4.7248087,-1.1973077	,-4.4913816,-0.46833342
912,-4.931311,-1.254428	,-4.5141253,-0.46729073
913,-4.9759007,-1.25998	,-4.5027137,-0.47340778
914,-4.1541224,-1.0466988	,-4.110824,-0.40509903
915,-4.0222554,-0.9953122	,-4.028896,-0.4100289
916,-4.036419,-1.0300697	,-4.0212264,-0.40888655
917,-4.0570917,-1.0203233	,-3.704521,-0.35758707
